racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM,hot_code,raceid,order_of_finish_num,popularity_num,horse_weight_num,tanshou_odds_num,tanshou_odds_at10_num,IDM_num,hot_code_num,tanshou_flag
1015141102,1010251020150215,サンバビーン　　　　　　　　　　　　,1,7,498,19.3,4,17.5,4.2,61,3,1015141,1,7,498,19.3,17.5,61.0,3.0,True
1015141103,910269520150215,セイカフォルトゥナ　　　　　　　　　,11,12,480,43.2,7.2,35.2,8.7,46,3,1015141,11,12,480,43.2,35.2,46.0,3.0,False
1015141104,910487020150215,コウセイコタロウ　　　　　　　　　　,3,11,506,42.3,6.7,21.5,4.6,57,3,1015141,3,11,506,42.3,21.5,57.0,3.0,False
1015141105,1111002520150215,ディルガ　　　　　　　　　　　　　　,13,14,442,62.2,12.2,38.7,9.8,44,3,1015141,13,14,442,62.2,38.7,44.0,3.0,False
1015141106,910649320150215,タイセイシュバリエ　　　　　　　　　,12,2,494,4.7,1.6,5.8,2.1,50,3,1015141,12,2,494,4.7,5.8,50.0,3.0,False
1015141107,1010630720150215,ヒミノオオタカ　　　　　　　　　　　,16,10,476,41.4,7.4,31.2,6.4,38,3,1015141,16,10,476,41.4,31.2,38.0,3.0,False
1015141108,910565820150215,シンワウォッカ　　　　　　　　　　　,6,6,484,11.4,3.1,11.5,2.9,51,3,1015141,6,6,484,11.4,11.5,51.0,3.0,False
1015141109,910674220150215,エスペリア　　　　　　　　　　　　　,7,15,460,156.4,24.2,76,10.8,48,3,1015141,7,15,460,156.4,76.0,48.0,3.0,False
1015141110,1110378820150215,グレナディアーズ　　　　　　　　　　,2,1,492,3.1,1.3,3.7,1.9,61,3,1015141,2,1,492,3.1,3.7,61.0,3.0,False
1015141111,810384420150215,マヤノクレド　　　　　　　　　　　　,8,9,510,33.7,5.1,13.7,2.8,48,3,1015141,8,9,510,33.7,13.7,48.0,3.0,False
1015141112,1010030720150215,ベルウッドテラス　　　　　　　　　　,4,5,512,9.2,2.3,9.3,3,57,3,1015141,4,5,512,9.2,9.3,57.0,3.0,False
1015141113,910597220150215,メイショウコンカー　　　　　　　　　,15,4,470,7.3,2.2,8.8,3.5,45,3,1015141,15,4,470,7.3,8.8,45.0,3.0,False
1015141114,710165320150215,ステキナシャチョウ　　　　　　　　　,14,16,476,172.4,23.4,69.7,14.8,42,3,1015141,14,16,476,172.4,69.7,42.0,3.0,False
1015141115,1010171420150215,シグナルプロシード　　　　　　　　　,9,3,518,6.6,1.9,7.1,2.2,50,3,1015141,9,3,518,6.6,7.1,50.0,3.0,False
1015141116,910315820150215,サイモンガーランド　　　　　　　　　,5,8,478,26.6,4.2,19.1,3.2,54,3,1015141,5,8,478,26.6,19.1,54.0,3.0,False
1015141201,1110642720150215,ベルリネッタ　　　　　　　　　　　　,8,4,462,8.7,2.7,6.8,2.1,48,5,1015141,8,4,462,8.7,6.8,48.0,5.0,False
1015141202,910504320150215,スターマイン　　　　　　　　　　　　,7,11,488,67.3,8.7,28.2,6.6,48,3,1015141,7,11,488,67.3,28.2,48.0,3.0,False
1015141203,1010582420150215,サンセットスカイ　　　　　　　　　　,5,9,482,20.2,3.8,12.1,3.8,52,3,1015141,5,9,482,20.2,12.1,52.0,3.0,False
1015141204,910070620150215,リバティーホール　　　　　　　　　　,15,12,452,70.3,13.8,29.3,8.4,47,3,1015141,15,12,452,70.3,29.3,47.0,3.0,False
1015141205,910624220150215,ラインロバート　　　　　　　　　　　,12,13,476,73.2,11,25,4.6,46,3,1015141,12,13,476,73.2,25.0,46.0,3.0,False
1015141206,910133420150215,デンコウデア　　　　　　　　　　　　,15,15,476,91.1,15,38.6,8.8,51,5,1015141,15,15,476,91.1,38.6,51.0,5.0,False
1015141207,1110520020150215,コスモドーム　　　　　　　　　　　　,17,6,502,17.9,3.4,18.2,3.9,49,3,1015141,17,6,502,17.9,18.2,49.0,3.0,False
1015141208,1110054820150215,ホープタウン　　　　　　　　　　　　,11,2,490,4.1,1.5,4.6,2,48,3,1015141,11,2,490,4.1,4.6,48.0,3.0,False
1015141209,1010404820150215,ローズミラクル　　　　　　　　　　　,4,3,540,5.1,1.5,8,2.9,53,3,1015141,4,3,540,5.1,8.0,53.0,3.0,False
1015141210,910449920150215,クラウンカイザー　　　　　　　　　　,3,8,506,19.2,4.2,18,4.8,54,3,1015141,3,8,506,19.2,18.0,54.0,3.0,False
1015141211,910483220150215,キタサンエピソード　　　　　　　　　,9,1,488,3.6,1.4,6.2,2.3,48,5,1015141,9,1,488,3.6,6.2,48.0,5.0,False
1015141212,810264420150215,アドマイヤクーガー　　　　　　　　　,6,5,468,10.2,3.1,12.7,3.3,50,3,1015141,6,5,468,10.2,12.7,50.0,3.0,False
1015141213,910499920150215,ヤマニンカヴァリエ　　　　　　　　　,14,14,524,77.5,11.9,43.3,8.3,47,5,1015141,14,14,524,77.5,43.3,47.0,5.0,False
1015141214,810641920150215,ホーマンベルウィン　　　　　　　　　,13,16,474,142.7,16.5,42.7,9.8,47,3,1015141,13,16,474,142.7,42.7,47.0,3.0,False
1015141215,610122220150215,ストロングロビン　　　　　　　　　　,1,10,492,28.2,4.6,15,3.1,56,3,1015141,1,10,492,28.2,15.0,56.0,3.0,True
1015141216,810586620150215,ヒカリトリトン　　　　　　　　　　　,9,17,500,189.2,26.3,106.2,22.1,48,5,1015141,9,17,500,189.2,106.2,48.0,5.0,False
1015141217,610602420150215,パープルタイヨー　　　　　　　　　　,18,18,450,280.3,41.1,112.7,24.3,46,5,1015141,18,18,450,280.3,112.7,46.0,5.0,False
1015141218,1110403220150215,ヴァイサーリッター　　　　　　　　　,2,7,476,18.8,4.6,14.1,4,54,3,1015141,2,7,476,18.8,14.1,54.0,3.0,False
615180101,1210311720150124,リターンエース　　　　　　　　　　　,9,8,440,31.6,4.5,19.4,3.5,23,3,6151801,9,8,440,31.6,19.4,23.0,3.0,False
615180102,1210267020150124,フクムスメ　　　　　　　　　　　　　,12,15,400,281.4,35,116.9,16.5,10,3,6151801,12,15,400,281.4,116.9,10.0,3.0,False
615180103,1210000920150124,ヴァッハウ　　　　　　　　　　　　　,2,6,476,21.1,2.9,17.5,2.9,32,3,6151801,2,6,476,21.1,17.5,32.0,3.0,False
615180104,1210401820150124,シースレス　　　　　　　　　　　　　,14,11,416,55.6,12.5,46.3,9,2,3,6151801,14,11,416,55.6,46.3,2.0,3.0,False
615180105,1210261220150124,ハーティタイトル　　　　　　　　　　,11,9,460,34.2,7.3,28.8,4.8,16,3,6151801,11,9,460,34.2,28.8,16.0,3.0,False
615180106,1210240020150124,シゲルケンカマツリ　　　　　　　　　,15,14,516,225.9,24.7,127,21.7,4,3,6151801,15,14,516,225.9,127.0,4.0,3.0,False
615180107,1210355720150124,ゴールドエッグ　　　　　　　　　　　,4,2,462,4.7,1.3,4.6,1.3,31,3,6151801,4,2,462,4.7,4.6,31.0,3.0,False
615180108,1210189920150124,ネコレーヌ　　　　　　　　　　　　　,13,12,422,187.3,27.6,86.1,16.5,6,3,6151801,13,12,422,187.3,86.1,6.0,3.0,False
