racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM
1016150508,1210499020160227,ケモノタイプ　　　　　　　　　　　　,7,13,486,48.5,9.3,25.8,6.4,40
1016150509,1210200820160227,カシノキングダム　　　　　　　　　　,5,10,474,30.3,4.1,10.3,2.8,42
1016150510,1210596420160227,サウスリュウセイ　　　　　　　　　　,13,8,468,18.2,4.2,10.8,4.6,35
1016150511,1210438520160227,レッドファーレン　　　　　　　　　　,9,7,436,14.4,3.6,16.2,3.5,40
1016150512,1010295020160227,バーニーズ　　　　　　　　　　　　　,6,9,496,27.1,3.7,25.5,5,42
1016150513,1010287520160227,スリーエスペラント　　　　　　　　　,4,14,504,49.7,8.2,25.6,7.5,43
1016150514,1010328420160227,ユキノマルガリータ　　　　　　　　　,3,11,464,38.2,6,36,4.3,45
1016150601,1110639320160227,マイネルボルソー　　　　　　　　　　,4,1,484,2.4,1.2,3.7,1.9,47
1016150602,1210434120160227,サンセットビーチ　　　　　　　　　　,16,15,436,141.2,29.5,48.5,10.1,23
1016150603,1010115520160227,クリノロッキー　　　　　　　　　　　,10,11,504,29.5,5,16.2,4.6,38
1016150604,1010488820160227,メイショウトリトン　　　　　　　　　,5,8,484,24.2,4.4,11.4,2.6,44
1016150605,1110228120160227,ストロングバルドル　　　　　　　　　,14,14,474,101.6,12.7,52.5,7.3,35
1016150606,1210550320160227,タイキオールブルー　　　　　　　　　,9,6,442,17.7,3.4,12.7,2.4,39
1016150607,1210349620160227,ヤマカツライデン　　　　　　　　　　,15,9,526,24.5,5.3,27.1,7.8,28
1016150608,1210443120160227,カプリチオーソ　　　　　　　　　　　,7,13,442,86.1,13.1,32.8,8.4,42
1016150609,1010437220160227,ローザズカレッジ　　　　　　　　　　,11,5,480,11.7,2.2,9.1,2.5,38
1016150610,910337720160227,アムールクエスト　　　　　　　　　　,12,16,484,443.8,55.3,128.5,27.6,34
1016150611,1210128920160227,サンマルバロン　　　　　　　　　　　,13,10,462,28.4,7.8,13.9,3.7,35
1016150612,1210008920160227,パイロキシン　　　　　　　　　　　　,1,3,490,7.1,1.8,10,3.1,51
1016150613,1210113220160227,トミケンシェルフ　　　　　　　　　　,3,4,488,8.4,1.8,13.1,2.4,47
1016150614,1110642420160227,ハッピーメモリーズ　　　　　　　　　,6,7,484,19.4,5.1,13.3,7,44
1016150615,1210283020160227,ポントス　　　　　　　　　　　　　　,8,12,462,60.4,14.7,15.8,8.3,41
1016150616,1110443020160227,レッドアライヴ　　　　　　　　　　　,2,2,462,5.4,1.6,6.6,1.4,48
1016150701,1210347620160227,ダイワプロパー　　　　　　　　　　　,2,2,494,6.4,2.1,6.7,2.6,52
1016150702,1210392920160227,ウォーターラボ　　　　　　　　　　　,1,5,466,7.2,2,10.9,3.5,54
1016150703,1010229920160227,タニオブローズ　　　　　　　　　　　,16,11,462,38.8,6.7,42.9,6.9,43
1016150704,1110494920160227,ヨッテウタッテ　　　　　　　　　　　,10,16,464,101.8,13.9,41,7.1,43
1016150705,1210135520160227,スペチアーレ　　　　　　　　　　　　,3,13,470,44.2,12,46.5,5.9,49
1016150706,1210917120160227,カシノリノ　　　　　　　　　　　　　,18,12,490,40.6,10.6,16,6.7,11
1016150707,1110361820160227,メモリーレーン　　　　　　　　　　　,9,15,480,75.4,14.6,32.1,5.9,44
1016150708,1110480320160227,エクスシア　　　　　　　　　　　　　,13,8,436,15.9,3.3,17.2,3.5,42
1016150709,1110919320160227,テイエムチュラッコ　　　　　　　　　,17,18,446,116.4,22.6,78.7,8.4,36
1016150710,1210216920160227,ウィズアットレース　　　　　　　　　,12,4,418,6.8,2.5,13.1,3.6,41
1016150711,1210347820160227,マイティティー　　　　　　　　　　　,11,17,458,105.7,25.7,60.1,11.3,43
1016150712,1110499720160227,タガノスカイ　　　　　　　　　　　　,4,6,468,13.6,3.1,14.9,3.9,45
1016150713,1110429620160227,ダイワソフィー　　　　　　　　　　　,5,10,474,35.1,10.2,14.9,4.8,46
1016150714,1110389920160227,エルノルテ　　　　　　　　　　　　　,7,7,474,15,4,14.8,3.3,46
1016150715,1110573020160227,コスモマイルール　　　　　　　　　　,8,14,436,48.1,8,42.1,6.4,45
1016150716,1110245220160227,ホクラニミサ　　　　　　　　　　　　,15,3,454,6.7,2.2,7.5,2,44
1016150717,1110169820160227,ウエスタンユーノー　　　　　　　　　,14,9,488,20.9,5.3,16.2,5.8,41
1016150718,1210627520160227,シェアザジョイフル　　　　　　　　　,6,1,456,4,1.5,3.7,2.1,48
1016150801,1210023620160227,ウインティアラ　　　　　　　　　　　,8,6,418,16.6,3,12.8,1.9,40
1016150802,810391120160227,ユウセン　　　　　　　　　　　　　　,11,9,456,79.4,7.2,21.2,3.5,37
1016150803,1210421620160227,ナリノパシオン　　　　　　　　　　　,9,8,490,61.9,7.3,23.7,2.9,44
1016150804,1210229320160227,ロードグリッター　　　　　　　　　　,2,4,490,7.2,1.4,6.7,2,53
1016150805,1210157520160227,シームストレス　　　　　　　　　　　,6,5,464,15,2.8,7.3,2.6,48
1016150806,1210211820160227,トウカイララバイ　　　　　　　　　　,10,10,486,100.6,13.7,51.7,8.4,39
1016150807,1010443220160227,ステイザコース　　　　　　　　　　　,4,3,474,4.5,1.3,6.1,1.5,51
1016150808,1010501920160227,ネルトスグアサ　　　　　　　　　　　,7,11,474,170.5,17.7,74.8,10,45
1016150809,1110378020160227,モンドシャルナ　　　　　　　　　　　,1,1,458,2.1,1.1,2.4,1.2,55
1016150810,1210218420160227,ラムレイ　　　　　　　　　　　　　　,3,7,474,25,3.3,23.7,4,52
1016150811,1110437120160227,フロリダパンサー　　　　　　　　　　,5,2,486,4.4,1.4,6.5,1.9,50
1016150901,1210269820160227,マイネルライヒ　　　　　　　　　　　,3,4,536,7.2,1.7,10.7,2.5,47
1016150902,1210227920160227,トウケイファルコン　　　　　　　　　,12,10,494,37.3,7.7,19.9,3.7,40
